iter	Logloss
0	0.6928088469
1	0.6924781967
2	0.6920040511
3	0.6915119411
4	0.6911667867
5	0.6909165351
6	0.6904779505
7	0.690062705
8	0.6898482351
9	0.6894128164
10	0.6888178521
11	0.6885944736
12	0.6883858202
13	0.6879425972
14	0.6874872997
15	0.6870393647
16	0.6866001174
17	0.6862368513
18	0.6859662791
19	0.6855089937
20	0.6851365981
21	0.6849242634
22	0.6847139165
23	0.6842167263
24	0.6839237721
25	0.6835328966
26	0.6832195482
27	0.6828989846
28	0.6825466886
29	0.6820965449
30	0.6818116158
31	0.6815651927
32	0.6813030874
33	0.6811065084
34	0.6807291799
35	0.6805286251
36	0.680265121
37	0.6799927818
38	0.6797437081
39	0.6794232918
40	0.6791901948
41	0.6787354863
42	0.6783719993
43	0.6779378322
44	0.6776543756
45	0.6772298534
46	0.6768456777
47	0.6763847847
48	0.6761375517
49	0.6758071223
50	0.6754753677
51	0.6750879525
52	0.6746269123
53	0.6744556603
54	0.6741226541
55	0.6738109991
56	0.6735365248
57	0.6731605951
58	0.6729448737
59	0.6725543662
60	0.6720454697
61	0.6717939664
62	0.6715309776
63	0.6711794178
64	0.6708577499
65	0.6705560343
66	0.6700511135
67	0.6697495451
68	0.669483685
69	0.6691202716
70	0.6687591406
71	0.668470972
72	0.6680563155
73	0.6677385497
74	0.6672721348
75	0.6668998128
76	0.6665336016
77	0.6662582438
78	0.6658748044
79	0.6655694075
80	0.6651515852
81	0.6649038368
82	0.6647980376
83	0.6642970189
84	0.6641538181
85	0.6638084429
86	0.6635284467
87	0.66333496
88	0.6630269862
89	0.6626569466
90	0.6623148108
91	0.6621264043
92	0.6617435538
93	0.6614509678
94	0.6611588971
95	0.6608260381
96	0.660506947
97	0.6600506187
98	0.6596914019
99	0.6593126745
100	0.6590387156
101	0.658635471
102	0.658273751
103	0.6579663663
104	0.6576650188
105	0.6573460014
106	0.6571989721
107	0.6569173561
108	0.6566154197
109	0.6563355708
110	0.6560286278
111	0.6557657126
112	0.6554729793
113	0.6552713202
114	0.655049856
115	0.6547026401
116	0.6543733151
117	0.6539931888
118	0.6536436169
119	0.6533215072
120	0.6529619959
121	0.65262067
122	0.6522544589
123	0.6520793048
124	0.6518870697
125	0.6515712181
126	0.6512695025
127	0.651035522
128	0.6508761974
129	0.6505759543
130	0.650324451
131	0.6500211893
132	0.6498506736
133	0.6495061819
134	0.6491614692
135	0.6490130411
136	0.6486182634
137	0.6483214071
138	0.6479242734
139	0.6477100244
140	0.6475034324
141	0.6472459655
142	0.6468907981
143	0.6465856221
144	0.6463164488
145	0.6460035422
146	0.6457672794
147	0.6455488337
148	0.6454391324
149	0.6452207604
150	0.6450478151
151	0.6448143499
152	0.6445702092
153	0.6443182641
154	0.6440395196
155	0.6436724249
156	0.6434602374
157	0.643159479
158	0.6429609121
159	0.6424780789
160	0.6422038991
161	0.6420189529
162	0.6418017589
163	0.6416132787
164	0.6412311645
165	0.641034291
166	0.6407043034
167	0.6403305825
168	0.640018633
169	0.6396430715
170	0.6394054097
171	0.6391489
172	0.6390233692
173	0.638719224
174	0.6384147106
175	0.6381333156
176	0.6379011021
177	0.6375309888
178	0.6371540284
179	0.6368002599
180	0.6366327628
181	0.636284737
182	0.6359877335
183	0.6357198118
184	0.6355078452
185	0.6351821278
186	0.6349985069
187	0.6346798575
188	0.6344480858
189	0.6340178944
190	0.6338229352
191	0.6335560443
192	0.6331578062
193	0.63284247
194	0.6326095939
195	0.6322813733
196	0.6320991512
197	0.6317749063
198	0.6314826884
199	0.6311747883
200	0.6307794952
201	0.6305737868
202	0.6304222663
203	0.6301574369
204	0.6299892036
205	0.62961563
206	0.6295397961
207	0.6294153697
208	0.6292416882
209	0.6289865036
210	0.6287625361
211	0.6285275985
212	0.6282403871
213	0.6279617898
214	0.6277490869
215	0.6274949331
216	0.6273066738
217	0.6269119697
218	0.6267015492
219	0.6265516486
220	0.6262457364
221	0.6260033626
222	0.6257863159
223	0.6255014604
224	0.6252568779
225	0.6250322478
226	0.6247699952
227	0.6244955209
228	0.6241226835
229	0.6239971528
230	0.6238353248
231	0.6235414135
232	0.6233553629
233	0.6229659599
234	0.6226698398
235	0.6223730571
236	0.6220994663
237	0.6218767504
238	0.6216003619
239	0.6213171998
240	0.6210356575
241	0.6207837125
242	0.6205079129
243	0.620308389
244	0.6200316323
245	0.6197823378
246	0.619640315
247	0.6193963215
248	0.6191530642
249	0.6188357401
250	0.6186150857
251	0.6183736691
252	0.6181423391
253	0.617942447
254	0.6177421131
255	0.6174184573
256	0.6171806115
257	0.6169454161
258	0.6166348655
259	0.6163461816
260	0.6160148687
261	0.6158185843
262	0.6154283713
263	0.6151573574
264	0.6149330586
265	0.6147069928
266	0.6143332719
267	0.6141214157
268	0.613737056
269	0.6134395738
270	0.6132508728
271	0.6129641031
272	0.6128173315
273	0.61263695
274	0.6123850418
275	0.6121202492
276	0.6117625786
277	0.6115157505
278	0.6112630692
279	0.6108873236
280	0.610773941
281	0.6104655623
282	0.6102855858
283	0.6099681881
284	0.6097416437
285	0.6094297679
286	0.6092855363
287	0.6091335373
288	0.6088879609
289	0.6086149591
290	0.6084417193
291	0.6083215631
292	0.6081100015
293	0.6078236367
294	0.6075609424
295	0.6072435447
296	0.6071093998
297	0.6068406683
298	0.6066241737
299	0.6063842664
